Season,Player,ID,Team
2022,Toby Bedford,12772,Melbourne
2022,Jake Bowey,12931,Melbourne
2022,Angus Brayshaw,12322,Melbourne
2022,Ben Brown,12289,Melbourne
2022,Bayley Fritsch,12598,Melbourne
2022,Max Gawn,11966,Melbourne
2022,James Harmes,12379,Melbourne
2022,Jayden Hunt,4729,Melbourne
2022,Luke Jackson,12779,Melbourne
2022,James Jordon,12860,Melbourne
2022,Ed Langdon,12393,Melbourne
2022,Steven May,11940,Melbourne
2022,Tom McDonald,12009,Melbourne
2022,Alex Neal-Bullen,12367,Melbourne
2022,Clayton Oliver,12410,Melbourne
2022,Christian Petracca,12430,Melbourne
2022,Kysaiah Pickett,12771,Melbourne
2022,Christian Salem,12272,Melbourne
2022,Joel Smith,12493,Melbourne
2022,Charlie Spargo,12622,Melbourne
2022,Tom Sparrow,12693,Melbourne
2022,Adam Tomlinson,12027,Melbourne
2022,Jack Viney,12147,Melbourne
2022,Marcus Bontempelli,12269,Western Bulldogs
2022,Zaine Cordy,12392,Western Bulldogs
2022,Hayden Crozier,12088,Western Bulldogs
2022,Bailey Dale,12354,Western Bulldogs
2022,Caleb Daniel,12373,Western Bulldogs
2022,Josh Dunkley,12408,Western Bulldogs
2022,Tim English,12537,Western Bulldogs
2022,Ryan Gardner,12732,Western Bulldogs
2022,Mitch Hannan,12492,Western Bulldogs
2022,Lachie Hunter,12203,Western Bulldogs
2022,Alex Keath,12560,Western Bulldogs
2022,Tom Liberatore,11898,Western Bulldogs
2022,Jack Macrae,12166,Western Bulldogs
2022,Aaron Naughton,12594,Western Bulldogs
2022,Ed Richards,12605,Western Bulldogs
2022,Josh Schache,12416,Western Bulldogs
2022,Bailey Smith,12692,Western Bulldogs
2022,Roarke Smith,12390,Western Bulldogs
2022,Adam Treloar,12054,Western Bulldogs
2022,Jamarra Ugle-Hagan,12923,Western Bulldogs
2022,Laitham Vandermeer,12776,Western Bulldogs
2022,Cody Weightman,12800,Western Bulldogs
2022,Bailey Williams,12441,Western Bulldogs
2022,Adam Cerra,12603,Carlton
2022,Patrick Cripps,12261,Carlton
2022,Charlie Curnow,12421,Carlton
2022,Tom De Koning,12674,Carlton
2022,Sam Docherty,12170,Carlton
2022,Corey Durdin,12936,Carlton
2022,Zac Fisher,12520,Carlton
2022,George Hewett,12411,Carlton
2022,Matthew Kennedy,12455,Carlton
2022,Jack Martin,12236,Carlton
2022,Oscar McDonald,12394,Carlton
2022,Mitch McGovern,12404,Carlton
2022,Harry McKay,12566,Carlton
2022,Nic Newman,12508,Carlton
2022,Lochie OBrien,12611,Carlton
2022,Matthew Owies,12839,Carlton
2022,Marc Pittonet,12417,Carlton
2022,Adam Saad,12330,Carlton
2022,Will Setterfield,12567,Carlton
2022,Jack Silvagni,12458,Carlton
2022,Jacob Weitering,12402,Carlton
2022,Zac Williams,12175,Carlton
2022,Tom Williamson,12517,Carlton
2022,Jake Aarts,12790,Richmond
2022,Liam Baker,12661,Richmond
2022,Noah Balta,12686,Richmond
2022,Shai Bolton,12535,Richmond
2022,Nathan Broad,12456,Richmond
2022,Jason Castagna,12431,Richmond
2022,Trent Cotchin,11666,Richmond
2022,Shane Edwards,11557,Richmond
2022,Josh Gibcus,12947,Richmond
2022,Jack Graham,12576,Richmond
2022,Dylan Grimes,11879,Richmond
2022,Tom Lynch,11948,Richmond
2022,Dustin Martin,11794,Richmond
2022,Toby Nankervis,12374,Richmond
2022,Marlion Pickett,12761,Richmond
2022,Dion Prestia,11917,Richmond
2022,Hugo Ralphsmith,12902,Richmond
2022,Jack Riewoldt,11576,Richmond
2022,Daniel Rioli,12403,Richmond
2022,Jack Ross,12712,Richmond
2022,Jayden Short,12418,Richmond
2022,Ivan Soldo,12529,Richmond
2022,Robbie Tarrant,11859,Richmond
2022,Josh Battle,12558,St Kilda
2022,Dan Butler,12490,St Kilda
2022,Ryan Byrnes,12802,St Kilda
2022,Brad Crouch,12156,St Kilda
2022,Jade Gresham,12415,St Kilda
2022,Jack Hayes,12949,St Kilda
2022,Jack Higgins,12609,St Kilda
2022,Bradley Hill,12060,St Kilda
2022,Dougal Howard,12420,St Kilda
2022,Dean Kent,12184,St Kilda
2022,Max King,12773,St Kilda
2022,Rowan Marshall,12564,St Kilda
2022,Daniel McKenzie,12350,St Kilda
2022,Tim Membrey,12300,St Kilda
2022,Mitch Owens,12948,St Kilda
2022,Ben Paton,12671,St Kilda
2022,Sebastian Ross,12132,St Kilda
2022,Jack Sinclair,12325,St Kilda
2022,Jack Steele,12368,St Kilda
2022,Nasiah Wanganeen-Milera,12950,St Kilda
2022,Jimmy Webster,12188,St Kilda
2022,Callum Wilkie,12703,St Kilda
2022,Mason Wood,12312,St Kilda
2022,Taylor Adams,12066,Collingwood
2022,Trent Bianco,12908,Collingwood
2022,Tyler Brown,12763,Collingwood
2022,Mason Cox,12428,Collingwood
2022,Jack Crisp,12061,Collingwood
2022,Josh Daicos,12573,Collingwood
2022,Nick Daicos,12943,Collingwood
2022,Jordan de Goey,12318,Collingwood
2022,Jamie Elliott,12083,Collingwood
2022,Jack Ginnivan,12927,Collingwood
2022,Brodie Grundy,12217,Collingwood
2022,Oliver Henry,12851,Collingwood
2022,Jeremy Howe,11967,Collingwood
2022,Patrick Lipinski,12578,Collingwood
2022,Jack Madgen,12665,Collingwood
2022,Beau McCreery,12876,Collingwood
2022,Brody Mihocek,12639,Collingwood
2022,Darcy Moore,12372,Collingwood
2022,John Noble,12743,Collingwood
2022,Scott Pendlebury,4182,Collingwood
2022,Isaac Quaynor,12740,Collingwood
2022,Steele Sidebottom,11751,Collingwood
2022,Tom Wilson,12901,Collingwood
2022,Tom Atkins,12690,Geelong
2022,Mark Blicavs,12153,Geelong
2022,Jeremy Cameron,12017,Geelong
2022,Brad Close,12806,Geelong
2022,Luke Dahlhaus,11974,Geelong
2022,Patrick Dangerfield,11700,Geelong
2022,Sam De Koning,12891,Geelong
2022,Francis Evans,12873,Geelong
2022,Cameron Guthrie,11884,Geelong
2022,Zach Guthrie,12551,Geelong
2022,Tom Hawkins,11548,Geelong
2022,Jack Henry,12607,Geelong
2022,Shaun Higgins,4180,Geelong
2022,Max Holmes,12881,Geelong
2022,Jake Kolodjashnij,12370,Geelong
2022,Brandan Parfitt,12506,Geelong
2022,Esava Ratugolea,12597,Geelong
2022,Joel Selwood,11538,Geelong
2022,Isaac Smith,11941,Geelong
2022,Rhys Stanley,11847,Geelong
2022,Tyson Stengle,12552,Geelong
2022,Tom Stewart,12505,Geelong
2022,Zach Tuohy,11973,Geelong
2022,Kaine Baldwin,12944,Essendon
2022,Jye Caldwell,12755,Essendon
2022,Nikolas Cox,12852,Essendon
2022,Tom Cutler,12265,Essendon
2022,Sam Draper,12810,Essendon
2022,Matt Guelfi,12612,Essendon
2022,Brayden Ham,12713,Essendon
2022,Dyson Heppell,11896,Essendon
2022,Nick Hind,12734,Essendon
2022,Jake Kelly,12335,Essendon
2022,Kyle Langford,12349,Essendon
2022,Jayden Laverde,12377,Essendon
2022,Nic Martin,12945,Essendon
2022,Andrew McGrath,12491,Essendon
2022,Zach Merrett,12241,Essendon
2022,Darcy Parish,12406,Essendon
2022,Archie Perkins,12879,Essendon
2022,Mason Redman,12437,Essendon
2022,Jordan Ridley,12631,Essendon
2022,Dylan Shiel,12022,Essendon
2022,Devon Smith,12029,Essendon
2022,James Stewart,12232,Essendon
2022,Peter Wright,12366,Essendon
2022,Lachie Ash,12782,Greater Western Sydney
2022,Jarrod Brander,12646,Greater Western Sydney
2022,Tanner Bruhn,12871,Greater Western Sydney
2022,Stephen Coniglio,12028,Greater Western Sydney
2022,Isaac Cumming,12629,Greater Western Sydney
2022,Phil Davis,11825,Greater Western Sydney
2022,Matthew de Boer,11746,Greater Western Sydney
2022,Matt Flynn,12870,Greater Western Sydney
2022,Tom Green,12770,Greater Western Sydney
2022,Bobby Hill,12744,Greater Western Sydney
2022,Harrison Himmelberg,12462,Greater Western Sydney
2022,Jacob Hopper,12440,Greater Western Sydney
2022,Connor Idun,12750,Greater Western Sydney
2022,Lachlan Keeffe,11991,Greater Western Sydney
2022,Josh Kelly,12255,Greater Western Sydney
2022,Daniel Lloyd,12532,Greater Western Sydney
2022,Xavier OHalloran,12821,Greater Western Sydney
2022,Harry Perryman,12536,Greater Western Sydney
2022,Jake Riccardi,12834,Greater Western Sydney
2022,Tim Taranto,12504,Greater Western Sydney
2022,Sam Taylor,12644,Greater Western Sydney
2022,Callan Ward,11677,Greater Western Sydney
2022,Lachie Whitfield,12143,Greater Western Sydney
2022,Nick Blakey,12699,Sydney
2022,Braeden Campbell,12863,Sydney
2022,Harry Cunningham,12015,Sydney
2022,Oliver Florent,12497,Sydney
2022,Lance Franklin,4065,Sydney
2022,Errol Gulden,12862,Sydney
2022,Will Hayward,12509,Sydney
2022,Isaac Heeney,12326,Sydney
2022,Tom Hickey,12003,Sydney
2022,Josh Kennedy,11672,Sydney
2022,Paddy McCartin,12339,Sydney
2022,Tom McCartin,12627,Sydney
2022,Logan McDonald,12861,Sydney
2022,Justin McInerney,12711,Sydney
2022,Hayden McLean,12745,Sydney
2022,Callum Mills,12413,Sydney
2022,Colin ORiordan,12658,Sydney
2022,Luke Parker,11953,Sydney
2022,Dane Rampe,12140,Sydney
2022,James Rowbottom,12714,Sydney
2022,Angus Sheldrick,12951,Sydney
2022,Dylan Stephens,12796,Sydney
2022,Sam Wicks,12818,Sydney
2022,Marcus Adams,12409,Brisbane Lions
2022,Callum Ah Chee,12414,Brisbane Lions
2022,Harris Andrews,12340,Brisbane Lions
2022,Noah Answerth,12718,Brisbane Lions
2022,Zac Bailey,12610,Brisbane Lions
2022,Jarrod Berry,12519,Brisbane Lions
2022,Charlie Cameron,12277,Brisbane Lions
2022,Nakia Cockatoo,12319,Brisbane Lions
2022,Joe Daniher,12199,Brisbane Lions
2022,Darcy Fort,12724,Brisbane Lions
2022,Darcy Gardiner,12267,Brisbane Lions
2022,Jarryd Lyons,12067,Brisbane Lions
2022,Lincoln McCarthy,12090,Brisbane Lions
2022,Hugh McCluggage,12518,Brisbane Lions
2022,Oscar McInerney,12617,Brisbane Lions
2022,Daniel McStay,12291,Brisbane Lions
2022,Lachie Neale,12055,Brisbane Lions
2022,Cam Rayner,12592,Brisbane Lions
2022,Daniel Rich,11725,Brisbane Lions
2022,Mitch Robinson,11710,Brisbane Lions
2022,Harry Sharp,12864,Brisbane Lions
2022,Brandon Starcevich,12668,Brisbane Lions
2022,Dayne Zorko,12076,Brisbane Lions
2022,Aliir Aliir,12433,Port Adelaide
2022,Karl Amon,12357,Port Adelaide
2022,Travis Boak,11583,Port Adelaide
2022,Riley Bonner,12483,Port Adelaide
2022,Ryan Burton,12477,Port Adelaide
2022,Zak Butters,12698,Port Adelaide
2022,Darcy Byrne-Jones,12422,Port Adelaide
2022,Willem Drew,12695,Port Adelaide
2022,Xavier Duursma,12696,Port Adelaide
2022,Jeremy Finlayson,12553,Port Adelaide
2022,Mitch Georgiades,12766,Port Adelaide
2022,Robbie Gray,11578,Port Adelaide
2022,Dan Houston,12495,Port Adelaide
2022,Tom Jonas,12002,Port Adelaide
2022,Lachie Jones,12882,Port Adelaide
2022,Scott Lycett,11994,Port Adelaide
2022,Todd Marshall,12575,Port Adelaide
2022,Trent McKenzie,11912,Port Adelaide
2022,Jackson Mead,12946,Port Adelaide
2022,Steven Motlop,11818,Port Adelaide
2022,Sam Powell-Pepper,12494,Port Adelaide
2022,Connor Rozee,12697,Port Adelaide
2022,Ollie Wines,12150,Port Adelaide
2022,Sam Frost,12119,Hawthorn
2022,Denver Grainger-Barras,12920,Hawthorn
2022,Jack Gunston,11845,Hawthorn
2022,Blake Hardwick,12469,Hawthorn
2022,Changkuoth Jiath,12752,Hawthorn
2022,Mitch Lewis,12636,Hawthorn
2022,Max Lynch,12837,Hawthorn
2022,Connor Macdonald,12954,Hawthorn
2022,Finn Maginness,12843,Hawthorn
2022,Tom Mitchell,12196,Hawthorn
2022,Dylan Moore,12710,Hawthorn
2022,Harry Morrison,12579,Hawthorn
2022,Conor Nash,12670,Hawthorn
2022,Jai Newcombe,12915,Hawthorn
2022,Jaeger OMeara,12141,Hawthorn
2022,Tom Phillips,12452,Hawthorn
2022,Ned Reeves,12906,Hawthorn
2022,Jack Scrimshaw,12565,Hawthorn
2022,Liam Shiels,11760,Hawthorn
2022,James Sicily,12332,Hawthorn
2022,Josh Ward,12955,Hawthorn
2022,Chad Wingard,12047,Hawthorn
2022,James Worpel,12619,Hawthorn
2022,Callum Coleman-Jones,12730,North Melbourne
2022,Aidan Corr,12181,North Melbourne
2022,Luke Davies-Uniacke,12590,North Melbourne
2022,Todd Goldstein,11686,North Melbourne
2022,Hugh Greenwood,12533,North Melbourne
2022,Aaron Hall,12041,North Melbourne
2022,Jason Horne-Francis,12956,North Melbourne
2022,Nick Larkey,12563,North Melbourne
2022,Charlie Lazzaro,12865,North Melbourne
2022,Jack Mahony,12787,North Melbourne
2022,Luke McDonald,12246,North Melbourne
2022,Ben McKay,12580,North Melbourne
2022,Tom Powell,12866,North Melbourne
2022,Bailey Scott,12701,North Melbourne
2022,Jy Simpkin,12502,North Melbourne
2022,Jaidyn Stephenson,12587,North Melbourne
2022,Curtis Taylor,12722,North Melbourne
2022,Tarryn Thomas,12707,North Melbourne
2022,Kayne Turner,12304,North Melbourne
2022,Tristan Xerri,12788,North Melbourne
2022,Lachie Young,12717,North Melbourne
2022,Jack Ziebell,11724,North Melbourne
2022,Cameron Zurhaar,12557,North Melbourne
2022,Luke Brown,12106,Adelaide
2022,Jordon Butts,12829,Adelaide
2022,Matt Crouch,12258,Adelaide
2022,Jordan Dawson,12516,Adelaide
2022,Tom Doedee,12583,Adelaide
2022,Darcy Fogarty,12584,Adelaide
2022,Elliott Himmelberg,12675,Adelaide
2022,Mitch Hinge,12727,Adelaide
2022,Chayce Jones,12691,Adelaide
2022,Ben Keays,12434,Adelaide
2022,Ned McHenry,12775,Adelaide
